SMILES,96-Plate,96-Well,16h Raw R1,16h Raw R2
FC1=CC=C(CN2N=C(C(NC3=CC(C)=C(OC)C(C)=C3)=O)C3=C2[C@](C(N)=O)(C)CN(C(C2=CC=CN2)=O)C3)C=C1,10-2,F10,1.286,1.263
O=C(O[Na])COC1=CC=C(SC[C@H](OCC)COC2=CC=C(C(F)(F)F)C=C2)C=C1C,10-2,F11,1.025,1.098
O=C(N1CCC2=C(OC(COC3=CC=CC=C3)=N2)C1)C1=CC=C(F)C=C1,10-2,G02,1.195,1.182
O[C@@]12C[C@@H]3C[C@@H](C[C@H](C1)[C@H]3NC1=C3C(=NC=C1C(N)=O)NC=C3)C2,10-2,G03,1.142,1.148
O=C(NC1=C(C(C)C)N(C)N(C2=CC=CC=C2)C1=O)NC1=CC=C(Cl)C=C1,10-2,G04,1.181,1.179
O=C(N(CC1=CC=C(CN(CCOCC)C(C(Cl)Cl)=O)C=C1)CCOCC)C(Cl)Cl,10-2,G05,1.195,1.188
CN1CCN(C2=CC=C(C(=O)NC3=CC=C([C@@H]4C[C@H]4N)C=C3)C=C2)CC1,10-2,G06,1.163,1.163
C=CC(=O)NC1=CC(N2C(=O)C=C(C)C3=CN=C(NC4=C(OC)C=C(OCCN(C)C)C=C4)N=C23)=CC=C1,10-2,G07,1.165,1.146
FC(C1=CC=C(NN2CCOCC2)C([N+]([O-])=O)=C1)(F)F,10-2,G08,1.23,1.227
COC1=C(OC)C=C(C(/C=C/C2=CC(B(O)O)=C(OC)C=C2)=O)C=C1OC,10-2,G09,0.9,0.907
ClC1=C(C2=CC3=CN=C(NC)N=C3N(C[C@H]3OC[C@H](N)CO3)C2=O)C=CC(C2=NC(C)=CC=C2)=C1,10-2,G10,1.186,1.18
O=[S@](C1(C2=NC(C3=C4C(=NC=C3)NC=C4)=NC(N3CCOC[C@H]3C)=C2)CC1)(C)=N,10-2,G11,1.28,1.28
CC1=C(C2=NN=C(SCCCN3CC4(C5=CC=C(C(F)(F)F)C=C5F)CC4C3)N2C)OC=N1,10-2,H02,1.184,1.177
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3N[C@H]2COCC2)O1,10-2,H03,1.176,1.171
O=C(C1=C(COC(N)=O)NC(C)=C(C(OC)=O)C1C1=CC=CC(Cl)=C1Cl)OC(C)C,10-2,H04,0.045,0.045
O=C(O)C(CC)C1=CC=C(N2CC3=C(C=CC=C3)C2=O)C=C1,10-2,H05,1.192,1.2
O=S(C1=CC=C(NC2=NC(OCC3CCCCC3)=C3C(=N2)NC=N3)C=C1)(C=C)=O,10-2,H06,1.233,1.201
O=C1N2[C@]([H])(NC1=O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]2CO,10-2,H07,1.185,1.183
O=C(NCC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C1=CC(CCCNCCCO)=CC=C1Cl,10-2,H08,1.249,1.24
ClC1=C(Cl)C=CC(C2=NN(/C(NC#N)=N/C3=CC=CC(OC(F)F)=C3)C[C@@H]2N(C(CO)=O)CC)=C1,10-2,H09,1.286,1.288
O=C([C@H]1C[C@@H](NC2=NC(NC)=NC(C)=N2)CCC1)NCC1=CC=C(C#N)C=C1C(F)(F)F,10-2,H10,1.233,1.234
COC1=CC=C(C2=NC3=CC=CC=C3C(C(O)C3CCCCN3)=C2)C=C1,10-2,H11,1.181,1.177
NCCNCC1=CC=C(OCC2=C(C)C(C3=CC=CC=C3)=CC=C2)N=C1OC,10-3,A02,0.045,0.046
C=CC(=O)N1CC[C@@H](OC2=C(CC)N=C(C(N)=O)C(NC3=CC=C(N4CCC(N5CCN(C)CC5)CC4)C=C3)=N2)C1,10-3,A03,1.194,1.198
